iter	Passed	Remaining
375	629	1045
376	630	1042
377	632	1040
378	633	1037
379	634	1035
380	635	1032
381	636	1030
382	638	1028
383	639	1025
384	640	1023
385	641	1021
386	643	1018
387	644	1016
388	645	1014
389	647	1012
390	648	1009
391	649	1007
392	650	1004
393	651	1002
394	652	999
395	654	997
396	655	995
397	656	992
398	657	990
399	658	988
400	659	985
401	661	983
402	662	981
403	663	979
404	664	976
405	666	974
406	667	972
407	668	969
408	669	967
409	671	965
410	672	963
411	673	961
412	674	958
413	675	956
414	676	954
415	678	952
416	679	950
417	680	947
418	681	945
419	683	943
420	684	941
421	685	939
422	686	936
423	687	934
424	689	932
425	690	930
426	691	927
427	692	925
428	693	923
429	695	921
430	696	919
431	697	917
432	698	914
433	700	912
434	701	910
435	702	908
436	703	906
437	704	904
438	705	902
439	706	899
440	708	897
441	709	895
442	710	893
443	711	891
444	713	889
445	714	887
446	715	885
447	716	883
448	718	881
449	719	879
450	720	877
451	721	874
452	722	872
453	724	870
454	725	868
455	726	867
456	728	865
457	729	863
458	730	861
459	732	859
460	733	857
461	734	855
462	736	853
463	737	851
464	738	849
